ensembl_gene_id_version	ensembl_gene_id	external_gene_name
ENSG00000170312.17	ENSG00000170312	CDK1
ENSG00000170322.15	ENSG00000170322	NFRKB
ENSG00000170323.9	ENSG00000170323	FABP4
ENSG00000170324.21	ENSG00000170324	FRMPD2
ENSG00000170325.16	ENSG00000170325	PRDM10
ENSG00000170370.12	ENSG00000170370	EMX2
ENSG00000170374.6	ENSG00000170374	SP7
ENSG00000170421.13	ENSG00000170421	KRT8
ENSG00000170423.13	ENSG00000170423	KRT78
ENSG00000170430.10	ENSG00000170430	MGMT
ENSG00000170442.12	ENSG00000170442	KRT86
ENSG00000170454.6	ENSG00000170454	KRT75
ENSG00000170456.16	ENSG00000170456	DENND5B
ENSG00000170465.10	ENSG00000170465	KRT6C
ENSG00000170477.13	ENSG00000170477	KRT4
ENSG00000170484.10	ENSG00000170484	KRT74
ENSG00000170486.11	ENSG00000170486	KRT72
ENSG00000170523.3	ENSG00000170523	KRT83
ENSG00000170525.21	ENSG00000170525	PFKFB3
ENSG00000170545.17	ENSG00000170545	SMAGP
ENSG00000170619.10	ENSG00000170619	COMMD5
ENSG00000170627.11	ENSG00000170627	GTSF1
ENSG00000170631.15	ENSG00000170631	ZNF16
ENSG00000170653.19	ENSG00000170653	ATF7
ENSG00000170681.7	ENSG00000170681	CAVIN4
ENSG00000170683.7	ENSG00000170683	OR10A3
ENSG00000170743.17	ENSG00000170743	SYT9
ENSG00000170748.7	ENSG00000170748	RBMXL2
ENSG00000170759.11	ENSG00000170759	KIF5B
ENSG00000170777.11	ENSG00000170777	TPD52L3
ENSG00000170782.3	ENSG00000170782	OR10A4
ENSG00000170786.13	ENSG00000170786	SDR16C5
ENSG00000170788.14	ENSG00000170788	DYDC1
ENSG00000170790.6	ENSG00000170790	OR10A2
ENSG00000170791.18	ENSG00000170791	CHCHD7
ENSG00000170835.17	ENSG00000170835	CEL
ENSG00000170873.19	ENSG00000170873	MTSS1
ENSG00000170881.5	ENSG00000170881	RNF139
ENSG00000170903.12	ENSG00000170903	MSANTD4
ENSG00000170946.15	ENSG00000170946	DNAJC24
ENSG00000170953.4	ENSG00000170953	OR8B12
ENSG00000170955.10	ENSG00000170955	CAVIN3
ENSG00000170959.15	ENSG00000170959	DCDC1
ENSG00000170961.7	ENSG00000170961	HAS2
ENSG00000170962.13	ENSG00000170962	PDGFD
ENSG00000170967.5	ENSG00000170967	DDI1
ENSG00000171014.3	ENSG00000171014	OR4D5
ENSG00000171033.13	ENSG00000171033	PKIA
ENSG00000171044.11	ENSG00000171044	XKR6
ENSG00000171045.16	ENSG00000171045	TSNARE1
ENSG00000171053.10	ENSG00000171053	PATE1
ENSG00000171056.8	ENSG00000171056	SOX7
